# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7839 h/Mpc,
# number of wavenumbers equal to 6856
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.080971126529e-07       1.989360243922e+07       1.989360243904e+07       2.652479768811e+07       0.000000000000e+00       1.989546119945e+07       6.161336914239e+06 
       8.496841585628e-07       1.989360230595e+07       1.989360230289e+07       2.652471030978e+07       0.000000000000e+00       1.989546101525e+07       6.161336867555e+06 
       1.491275160489e-06       1.989360201101e+07       1.989360200158e+07       2.652451693388e+07       0.000000000000e+00       1.989546060760e+07       6.161336764240e+06 
       2.132874391015e-06       1.989360155439e+07       1.989360153510e+07       2.652421755825e+07       0.000000000000e+00       1.989545997649e+07       6.161336604292e+06 
       2.774486122877e-06       1.989360093608e+07       1.989360090345e+07       2.652381217907e+07       0.000000000000e+00       1.989545912191e+07       6.161336387706e+06 
       3.416114629055e-06       1.989360015608e+07       1.989360010660e+07       2.652330079084e+07       0.000000000000e+00       1.989545804384e+07       6.161336114478e+06 
       4.057764182871e-06       1.989359921435e+07       1.989359914455e+07       2.652268338642e+07       0.000000000000e+00       1.989545674224e+07       6.161335784601e+06 
       4.699439058080e-06       1.989359811088e+07       1.989359801725e+07       2.652195995703e+07       0.000000000000e+00       1.989545521710e+07       6.161335398069e+06 
       5.341143528969e-06       1.989359684564e+07       1.989359672470e+07       2.652113049222e+07       0.000000000000e+00       1.989545346836e+07       6.161334954872e+06 
       5.982881870449e-06       1.989359541860e+07       1.989359526685e+07       2.652019497989e+07       0.000000000000e+00       1.989545149599e+07       6.161334455000e+06 
       6.624658358150e-06       1.989359382972e+07       1.989359364368e+07       2.651915340627e+07       0.000000000000e+00       1.989544929995e+07       6.161333898441e+06 
       7.266477268518e-06       1.989359207897e+07       1.989359185513e+07       2.651800575597e+07       0.000000000000e+00       1.989544688016e+07       6.161333285181e+06 
       7.908342878910e-06       1.989359016630e+07       1.989358990117e+07       2.651675201191e+07       0.000000000000e+00       1.989544423658e+07       6.161332615207e+06 
       8.550259467684e-06       1.989358809167e+07       1.989358778175e+07       2.651539215539e+07       0.000000000000e+00       1.989544136913e+07       6.161331888501e+06 
       9.192231314302e-06       1.989358585502e+07       1.989358549682e+07       2.651392616602e+07       0.000000000000e+00       1.989543827776e+07       6.161331105048e+06 
       9.834262699417e-06       1.989358345629e+07       1.989358304631e+07       2.651235402177e+07       0.000000000000e+00       1.989543496236e+07       6.161330264827e+06 
       1.047635790498e-05       1.989358089543e+07       1.989358043017e+07       2.651067569898e+07       0.000000000000e+00       1.989543142287e+07       6.161329367820e+06 
       1.111852121431e-05       1.989357817237e+07       1.989357764834e+07       2.650889117229e+07       0.000000000000e+00       1.989542765920e+07       6.161328414003e+06 
       1.176075691222e-05       1.989357528705e+07       1.989357470073e+07       2.650700041473e+07       0.000000000000e+00       1.989542367124e+07       6.161327403356e+06 
       1.240306928511e-05       1.989357223939e+07       1.989357158729e+07       2.650500339764e+07       0.000000000000e+00       1.989541945890e+07       6.161326335852e+06 
       1.304546262102e-05       1.989356902932e+07       1.989356830793e+07       2.650290009073e+07       0.000000000000e+00       1.989541502207e+07       6.161325211467e+06 
       1.368794120978e-05       1.989356565675e+07       1.989356486257e+07       2.650069046204e+07       0.000000000000e+00       1.989541036063e+07       6.161324030173e+06 
       1.433050934307e-05       1.989356212160e+07       1.989356125112e+07       2.649837447796e+07       0.000000000000e+00       1.989540547448e+07       6.161322791941e+06 
       1.497317131454e-05       1.989355842378e+07       1.989355747349e+07       2.649595210324e+07       0.000000000000e+00       1.989540036348e+07       6.161321496743e+06 
       1.561593141989e-05       1.989355456320e+07       1.989355352959e+07       2.649342330096e+07       0.000000000000e+00       1.989539502751e+07       6.161320144546e+06 
       1.625879395695e-05       1.989355053976e+07       1.989354941932e+07       2.649078803254e+07       0.000000000000e+00       1.989538946642e+07       6.161318735317e+06 
