# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.080970270074e-07       1.989371355258e+07       1.989371355239e+07       2.652494583908e+07       0.000000000000e+00       1.989002094936e+07       6.161310695015e+06 
       8.501048320084e-07       1.989371341951e+07       1.989371341644e+07       2.652485836620e+07       0.000000000000e+00       1.989002076766e+07       6.161310648412e+06 
       1.492116599333e-06       1.989371312496e+07       1.989371311552e+07       2.652466475370e+07       0.000000000000e+00       1.989002036548e+07       6.161310545263e+06 
       2.134136609978e-06       1.989371266894e+07       1.989371264963e+07       2.652436499939e+07       0.000000000000e+00       1.989001974282e+07       6.161310385563e+06 
       2.776169145089e-06       1.989371205143e+07       1.989371201876e+07       2.652395909943e+07       0.000000000000e+00       1.989001889966e+07       6.161310169311e+06 
       3.418218486061e-06       1.989371127242e+07       1.989371122289e+07       2.652344704833e+07       0.000000000000e+00       1.989001783598e+07       6.161309896500e+06 
       4.060288914629e-06       1.989371033188e+07       1.989371026201e+07       2.652282883893e+07       0.000000000000e+00       1.989001655175e+07       6.161309567125e+06 
       4.702384712963e-06       1.989370922980e+07       1.989370913608e+07       2.652210446242e+07       0.000000000000e+00       1.989001504694e+07       6.161309181179e+06 
       5.344510163766e-06       1.989370796616e+07       1.989370784509e+07       2.652127390832e+07       0.000000000000e+00       1.989001332153e+07       6.161308738651e+06 
       5.986669550369e-06       1.989370654090e+07       1.989370638900e+07       2.652033716449e+07       0.000000000000e+00       1.989001137545e+07       6.161308239532e+06 
       6.628867156823e-06       1.989370495402e+07       1.989370476777e+07       2.651929421716e+07       0.000000000000e+00       1.989000920867e+07       6.161307683811e+06 
       7.271107267998e-06       1.989370320545e+07       1.989370298137e+07       2.651814505086e+07       0.000000000000e+00       1.989000682113e+07       6.161307071473e+06 
       7.913394169676e-06       1.989370129517e+07       1.989370102975e+07       2.651688964850e+07       0.000000000000e+00       1.989000421277e+07       6.161306402504e+06 
       8.555732148648e-06       1.989369922312e+07       1.989369891287e+07       2.651552799129e+07       0.000000000000e+00       1.989000138353e+07       6.161305676888e+06 
       9.198125492806e-06       1.989369698925e+07       1.989369663066e+07       2.651406005883e+07       0.000000000000e+00       1.988999833333e+07       6.161304894608e+06 
       9.840578491244e-06       1.989369459351e+07       1.989369418308e+07       2.651248582901e+07       0.000000000000e+00       1.988999506210e+07       6.161304055646e+06 
       1.048309543435e-05       1.989369203583e+07       1.989369157007e+07       2.651080527811e+07       0.000000000000e+00       1.988999156975e+07       6.161303159980e+06 
       1.112568061389e-05       1.989368931615e+07       1.989368879155e+07       2.650901838071e+07       0.000000000000e+00       1.988998785620e+07       6.161302207590e+06 
       1.176833832314e-05       1.989368643441e+07       1.989368584746e+07       2.650712510976e+07       0.000000000000e+00       1.988998392134e+07       6.161301198452e+06 
       1.241107285694e-05       1.989368339053e+07       1.989368273772e+07       2.650512543653e+07       0.000000000000e+00       1.988997976510e+07       6.161300132543e+06 
       1.305388851180e-05       1.989368018443e+07       1.989367946226e+07       2.650301933065e+07       0.000000000000e+00       1.988997538734e+07       6.161299009836e+06 
       1.369678958601e-05       1.989367681604e+07       1.989367602099e+07       2.650080676009e+07       0.000000000000e+00       1.988997078798e+07       6.161297830305e+06 
       1.433978037974e-05       1.989367328526e+07       1.989367241383e+07       2.649848769114e+07       0.000000000000e+00       1.988996596688e+07       6.161296593920e+06 
       1.498286519510e-05       1.989366959202e+07       1.989366864069e+07       2.649606208845e+07       0.000000000000e+00       1.988996092393e+07       6.161295300652e+06 
       1.562604833628e-05       1.989366573621e+07       1.989366470147e+07       2.649352991501e+07       0.000000000000e+00       1.988995565899e+07       6.161293950470e+06 
       1.626933410961e-05       1.989366171774e+07       1.989366059608e+07       2.649089113214e+07       0.000000000000e+00       1.988995017193e+07       6.161292543341e+06 
       1.691272682369e-05       1.989365753651e+07       1.989365632440e+07       2.648814569952e+07       0.000000000000e+00       1.988994446262e+07       6.161291079231e+06 
       1.755623078944e-05       1.989365319242e+07       1.989365188633e+07       2.648529357516e+07       0.000000000000e+00       1.988993853091e+07       6.161289558103e+06 
       1.819985032025e-05       1.989364868534e+07       1.989364728177e+07       2.648233471539e+07       0.000000000000e+00       1.988993237664e+07       6.161287979923e+06 
       1.884358973203e-05       1.989364401517e+07       1.989364251059e+07       2.647926907493e+07       0.000000000000e+00       1.988992599965e+07       6.161286344650e+06 
       1.948745334336e-05       1.989363918180e+07       1.989363757267e+07       2.647609660679e+07       0.000000000000e+00       1.988991939980e+07       6.161284652245e+06 
