# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08122e-07 to 53.7659 h/Mpc,
# number of wavenumbers equal to 6850
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.081221004138e-07       1.988829935617e+07       1.988829935599e+07       2.651772691137e+07       0.000000000000e+00       2.016388858771e+07       6.162684188674e+06 
       8.518952509776e-07       1.988829922060e+07       1.988829921752e+07       2.651763907909e+07       0.000000000000e+00       2.016388839358e+07       6.162684141167e+06 
       1.495672390574e-06       1.988829892034e+07       1.988829891087e+07       2.651744456107e+07       0.000000000000e+00       2.016388796366e+07       6.162684035957e+06 
       2.139457835612e-06       1.988829845539e+07       1.988829843601e+07       2.651714335510e+07       0.000000000000e+00       2.016388729792e+07       6.162683873040e+06 
       2.783255902652e-06       1.988829782574e+07       1.988829779295e+07       2.651673545731e+07       0.000000000000e+00       2.016388639636e+07       6.162683652414e+06 
       3.427070908503e-06       1.988829703138e+07       1.988829698167e+07       2.651622086214e+07       0.000000000000e+00       2.016388525896e+07       6.162683374073e+06 
       4.070907170323e-06       1.988829607229e+07       1.988829600214e+07       2.651559956236e+07       0.000000000000e+00       2.016388388568e+07       6.162683038011e+06 
       4.714769005710e-06       1.988829494844e+07       1.988829485435e+07       2.651487154907e+07       0.000000000000e+00       2.016388227650e+07       6.162682644220e+06 
       5.358660732800e-06       1.988829365981e+07       1.988829353827e+07       2.651403681168e+07       0.000000000000e+00       2.016388043137e+07       6.162682192690e+06 
       6.002586670368e-06       1.988829220636e+07       1.988829205386e+07       2.651309533792e+07       0.000000000000e+00       2.016387835025e+07       6.162681683412e+06 
       6.646551137917e-06       1.988829058806e+07       1.988829040108e+07       2.651204711387e+07       0.000000000000e+00       2.016387603308e+07       6.162681116373e+06 
       7.290558455781e-06       1.988828880487e+07       1.988828857990e+07       2.651089212391e+07       0.000000000000e+00       2.016387347981e+07       6.162680491559e+06 
       7.934612945219e-06       1.988828685674e+07       1.988828659028e+07       2.650963035075e+07       0.000000000000e+00       2.016387069038e+07       6.162679808955e+06 
       8.578718928510e-06       1.988828474363e+07       1.988828443215e+07       2.650826177541e+07       0.000000000000e+00       2.016386766470e+07       6.162679068546e+06 
       9.222880729053e-06       1.988828246548e+07       1.988828210547e+07       2.650678637727e+07       0.000000000000e+00       2.016386440271e+07       6.162678270313e+06 
       9.867102671462e-06       1.988828002223e+07       1.988827961018e+07       2.650520413399e+07       0.000000000000e+00       2.016386090432e+07       6.162677414237e+06 
       1.051138908166e-05       1.988827741383e+07       1.988827694622e+07       2.650351502159e+07       0.000000000000e+00       2.016385716945e+07       6.162676500297e+06 
       1.115574428699e-05       1.988827464021e+07       1.988827411352e+07       2.650171901438e+07       0.000000000000e+00       2.016385319800e+07       6.162675528471e+06 
       1.180017261628e-05       1.988827170129e+07       1.988827111200e+07       2.649981608503e+07       0.000000000000e+00       2.016384898986e+07       6.162674498736e+06 
       1.244467839998e-05       1.988826859701e+07       1.988826794160e+07       2.649780620449e+07       0.000000000000e+00       2.016384454493e+07       6.162673411066e+06 
       1.308926597023e-05       1.988826532728e+07       1.988826460223e+07       2.649568934208e+07       0.000000000000e+00       2.016383986310e+07       6.162672265436e+06 
       1.373393966097e-05       1.988826189203e+07       1.988826109381e+07       2.649346546540e+07       0.000000000000e+00       2.016383494424e+07       6.162671061817e+06 
       1.437870380803e-05       1.988825829116e+07       1.988825741624e+07       2.649113454041e+07       0.000000000000e+00       2.016382978824e+07       6.162669800180e+06 
       1.502356274923e-05       1.988825452459e+07       1.988825356945e+07       2.648869653137e+07       0.000000000000e+00       2.016382439495e+07       6.162668480495e+06 
       1.566852082447e-05       1.988825059221e+07       1.988824955332e+07       2.648615140087e+07       0.000000000000e+00       2.016381876424e+07       6.162667102729e+06 
       1.631358237587e-05       1.988824649393e+07       1.988824536776e+07       2.648349910982e+07       0.000000000000e+00       2.016381289597e+07       6.162665666848e+06 
       1.695875174779e-05       1.988824222965e+07       1.988824101267e+07       2.648073961747e+07       0.000000000000e+00       2.016380678998e+07       6.162664172818e+06 
       1.760403328699e-05       1.988823779925e+07       1.988823648792e+07       2.647787288137e+07       0.000000000000e+00       2.016380044612e+07       6.162662620602e+06 
       1.824943134270e-05       1.988823320263e+07       1.988823179341e+07       2.647489885740e+07       0.000000000000e+00       2.016379386422e+07       6.162661010162e+06 
       1.889495026674e-05       1.988822843966e+07       1.988822692902e+07       2.647181749977e+07       0.000000000000e+00       2.016378704412e+07       6.162659341458e+06 
       1.954059441359e-05       1.988822351023e+07       1.988822189462e+07       2.646862876101e+07       0.000000000000e+00       2.016377998564e+07       6.162657614451e+06 
       2.018636814050e-05       1.988821841420e+07       1.988821669009e+07       2.646533259198e+07       0.000000000000e+00       2.016377268860e+07       6.162655829097e+06 
       2.083227580759e-05       1.988821315146e+07       1.988821131529e+07       2.646192894184e+07       0.000000000000e+00       2.016376515280e+07       6.162653985353e+06 
       2.147832177795e-05       1.988820772186e+07       1.988820577009e+07       2.645841775809e+07       0.000000000000e+00       2.016375737806e+07       6.162652083174e+06 
       2.212451041774e-05       1.988820212527e+07       1.988820005434e+07       2.645479898656e+07       0.000000000000e+00       2.016374936417e+07       6.162650122512e+06 
       2.277084609626e-05       1.988819636154e+07       1.988819416790e+07       2.645107257139e+07       0.000000000000e+00       2.016374111093e+07       6.162648103321e+06 
       2.341733318609e-05       1.988819043052e+07       1.988818811063e+07       2.644723845504e+07       0.000000000000e+00       2.016373261813e+07       6.162646025550e+06 
       2.406397606318e-05       1.988818433208e+07       1.988818188235e+07       2.644329657831e+07       0.000000000000e+00       2.016372388554e+07       6.162643889148e+06 
       2.471077910691e-05       1.988817806604e+07       1.988817548293e+07       2.643924688030e+07       0.000000000000e+00       2.016371491294e+07       6.162641694063e+06 
       2.535774670024e-05       1.988817163225e+07       1.988816891219e+07       2.643508929845e+07       0.000000000000e+00       2.016370570009e+07       6.162639440241e+06 
       2.600488322977e-05       1.988816503054e+07       1.988816216996e+07       2.643082376852e+07       0.000000000000e+00       2.016369624676e+07       6.162637127626e+06 
       2.665219308585e-05       1.988815826074e+07       1.988815525608e+07       2.642645022458e+07       0.000000000000e+00       2.016368655271e+07       6.162634756161e+06 
       2.729968066272e-05       1.988815132269e+07       1.988814817036e+07       2.642196859904e+07       0.000000000000e+00       2.016367661767e+07       6.162632325789e+06 
       2.794735035852e-05       1.988814421620e+07       1.988814091263e+07       2.641737882263e+07       0.000000000000e+00       2.016366644141e+07       6.162629836449e+06 
       2.859520657549e-05       1.988813694109e+07       1.988813348269e+07       2.641268082438e+07       0.000000000000e+00       2.016365602364e+07       6.162627288080e+06 
       2.924325371998e-05       1.988812949718e+07       1.988812588037e+07       2.640787453167e+07       0.000000000000e+00       2.016364536410e+07       6.162624680619e+06 
       2.989149620264e-05       1.988812188427e+07       1.988811810546e+07       2.640295987019e+07       0.000000000000e+00       2.016363446252e+07       6.162622014002e+06 
       3.053993843841e-05       1.988811410216e+07       1.988811015777e+07       2.639793676395e+07       0.000000000000e+00       2.016362331860e+07       6.162619288163e+06 
       3.118858484674e-05       1.988810615066e+07       1.988810203709e+07       2.639280513529e+07       0.000000000000e+00       2.016361193207e+07       6.162616503034e+06 
       3.183743985159e-05       1.988809802957e+07       1.988809374321e+07       2.638756490487e+07       0.000000000000e+00       2.016360030262e+07       6.162613658548e+06 
       3.248650788159e-05       1.988808973867e+07       1.988808527593e+07       2.638221599167e+07       0.000000000000e+00       2.016358842995e+07       6.162610754633e+06 
       3.313579337011e-05       1.988808127775e+07       1.988807663501e+07       2.637675831299e+07       0.000000000000e+00       2.016357631376e+07       6.162607791218e+06 
       3.378530075540e-05       1.988807264659e+07       1.988806782025e+07       2.637119178446e+07       0.000000000000e+00       2.016356395372e+07       6.162604768230e+06 
       3.443503448062e-05       1.988806384497e+07       1.988805883142e+07       2.636551632002e+07       0.000000000000e+00       2.016355134952e+07       6.162601685593e+06 
       3.508499899402e-05       1.988805487267e+07       1.988804966828e+07       2.635973183194e+07       0.000000000000e+00       2.016353850083e+07       6.162598543232e+06 
       3.573519874898e-05       1.988804572945e+07       1.988804033060e+07       2.635383823082e+07       0.000000000000e+00       2.016352540731e+07       6.162595341069e+06 
       3.638563820417e-05       1.988803641507e+07       1.988803081813e+07       2.634783542557e+07       0.000000000000e+00       2.016351206862e+07       6.162592079025e+06 
       3.703632182357e-05       1.988802692930e+07       1.988802113064e+07       2.634172332343e+07       0.000000000000e+00       2.016349848441e+07       6.162588757017e+06 
       3.768725407666e-05       1.988801727190e+07       1.988801126788e+07       2.633550182995e+07       0.000000000000e+00       2.016348465433e+07       6.162585374965e+06 
       3.833843943847e-05       1.988800744260e+07       1.988800122958e+07       2.632917084902e+07       0.000000000000e+00       2.016347057802e+07       6.162581932785e+06 
       3.898988238968e-05       1.988799744116e+07       1.988799101550e+07       2.632273028284e+07       0.000000000000e+00       2.016345625511e+07       6.162578430390e+06 
       3.964158741675e-05       1.988798726732e+07       1.988798062536e+07       2.631618003193e+07       0.000000000000e+00       2.016344168522e+07       6.162574867694e+06 
       4.029355901201e-05       1.988797692081e+07       1.988797005891e+07       2.630951999515e+07       0.000000000000e+00       2.016342686798e+07       6.162571244609e+06 
       4.094580167374e-05       1.988796640138e+07       1.988795931586e+07       2.630275006967e+07       0.000000000000e+00       2.016341180298e+07       6.162567561044e+06 
       4.159831990633e-05       1.988795570873e+07       1.988794839594e+07       2.629587015099e+07       0.000000000000e+00       2.016339648985e+07       6.162563816908e+06 
       4.225111822030e-05       1.988794484261e+07       1.988793729887e+07       2.628888013291e+07       0.000000000000e+00       2.016338092818e+07       6.162560012107e+06 
       4.290420113250e-05       1.988793380272e+07       1.988792602436e+07       2.628177990758e+07       0.000000000000e+00       2.016336511756e+07       6.162556146548e+06 
       4.355757316612e-05       1.988792258879e+07       1.988791457212e+07       2.627456936546e+07       0.000000000000e+00       2.016334905758e+07       6.162552220133e+06 
       4.421123885087e-05       1.988791120051e+07       1.988790294185e+07       2.626724839535e+07       0.000000000000e+00       2.016333274781e+07       6.162548232765e+06 
       4.486520272303e-05       1.988789963759e+07       1.988789113325e+07       2.625981688434e+07       0.000000000000e+00       2.016331618783e+07       6.162544184345e+06 
       4.551946932559e-05       1.988788789974e+07       1.988787914602e+07       2.625227471788e+07       0.000000000000e+00       2.016329937721e+07       6.162540074771e+06 
       4.617404320833e-05       1.988787598665e+07       1.988786697985e+07       2.624462177972e+07       0.000000000000e+00       2.016328231549e+07       6.162535903942e+06 
       4.682892892793e-05       1.988786389800e+07       1.988785463441e+07       2.623685795195e+07       0.000000000000e+00       2.016326500223e+07       6.162531671752e+06 
       4.748413104811e-05       1.988785163349e+07       1.988784210939e+07       2.622898311496e+07       0.000000000000e+00       2.016324743698e+07       6.162527378097e+06 
       4.813965413966e-05       1.988783919279e+07       1.988782940447e+07       2.622099714749e+07       0.000000000000e+00       2.016322961927e+07       6.162523022868e+06 
       4.879550278063e-05       1.988782657558e+07       1.988781651931e+07       2.621289992659e+07       0.000000000000e+00       2.016321154863e+07       6.162518605958e+06 
       4.945168155637e-05       1.988781378153e+07       1.988780345358e+07       2.620469132765e+07       0.000000000000e+00       2.016319322459e+07       6.162514127256e+06 
       5.010819505968e-05       1.988780081031e+07       1.988779020694e+07       2.619637122437e+07       0.000000000000e+00       2.016317464666e+07       6.162509586649e+06 
       5.076504789088e-05       1.988778766158e+07       1.988777677904e+07       2.618793948877e+07       0.000000000000e+00       2.016315581436e+07       6.162504984024e+06 
       5.142224465796e-05       1.988777433500e+07       1.988776316954e+07       2.617939599122e+07       0.000000000000e+00       2.016313672718e+07       6.162500319265e+06 
       5.207978997663e-05       1.988776083021e+07       1.988774937808e+07       2.617074060040e+07       0.000000000000e+00       2.016311738463e+07       6.162495592256e+06 
       5.273768847048e-05       1.988774714686e+07       1.988773540429e+07       2.616197318332e+07       0.000000000000e+00       2.016309778618e+07       6.162490802879e+06 
